ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size
spartian,"Spartianus, Aelius (03..?-03..?)",0300,0399,0300,0399,basnage,1
suetone,Suétone (0069?-0126?),0069,0069,0126,0126,basnage,3
suetone,Suétone (0069?-0126?),0069,0069,0126,0126,berault,2
suetone,Suétone (0069?-0126?),0069,0069,0126,0126,terrien,2
tacite,Tacite (0055?-0120?),0055,0055,0120,0120,basnage,9
tacite,Tacite (0055?-0120?),0055,0055,0120,0120,berault,7
tacite,Tacite (0055?-0120?),0055,0055,0120,0120,pesnelle,6
tacite,Tacite (0055?-0120?),0055,0055,0120,0120,terrien,2
terence,Térence (0190?-0159 av. J.-C.),-0190,-0190,-0159,-0159,basnage,6
terence,Térence (0190?-0159 av. J.-C.),-0190,-0190,-0159,-0159,berault,1
tertullien,Tertullien (0155?-0222?),0155,0155,0222,0222,basnage,8
tertullien,Tertullien (0155?-0222?),0155,0155,0222,0222,terrien,2
theophile,Théophile Antecessor (05..-05..),0500,0599,0500,0599,basnage,1
thucydide,Thucydide (0460?-0395? av. J.-C.),-0460,-0460,-0395,-0395,basnage,1
tite-live,Tite-Live (0059? av. J.-C.-0017),-0059,-0059,0017,0017,basnage,2
tite-live,Tite-Live (0059? av. J.-C.-0017),-0059,-0059,0017,0017,berault,2
ulpien,Ulpien (0160-0228),0160,0160,0225,0225,basnage,31
ulpien,Ulpien (0160-0228),0160,0160,0225,0225,berault,4
ulpien,Ulpien (0160-0228),0160,0160,0225,0225,pesnelle,4
ulpien,Ulpien (0160-0228),0160,0160,0225,0225,terrien,5
valentinien,valentinien,0419,0419,0455,0455,pesnelle,1
velleius,"Velleius Paterculus, Caius (0019? av. J.-C.-0031?)",-0019,-0019,0031,0031,berault,1
virgile,Virgile (0070-0019 av. J.-C.),-0070,-0070,-0019,-0019,basnage,5
virgile,Virgile (0070-0019 av. J.-C.),-0070,-0070,-0019,-0019,berault,1
virgile,Virgile (0070-0019 av. J.-C.),-0070,-0070,-0019,-0019,pesnelle,1
virgile,Virgile (0070-0019 av. J.-C.),-0070,-0070,-0019,-0019,terrien,3
vopiscus,"Vopiscus, Flavius (02..-03..)",0200,0299,0300,0399,basnage,1
xenophon,"Vossius, Gerardus Joannes (1577-1649)",-0430,-0430,-0355,-0355,basnage,2
xenophon,"Vossius, Gerardus Joannes (1577-1649)",-0430,-0430,-0355,-0355,terrien,1
zenon,Zénon (0430?-0491 ; empereur d'Orient),0430,0430,0491,0491,basnage,1
